family,dataset,gender,n,pearson
facenet,scut,female,2750,0.8709
facenet,scut,male,2750,0.8577
facenet,mebeauty,female,1172,0.7158
facenet,mebeauty,male,1025,0.6608
facenet,london,female,49,0.4201
facenet,london,male,53,0.3407
arcface,scut,female,2750,0.8223
arcface,scut,male,2750,0.8302
arcface,mebeauty,female,1172,0.5125
arcface,mebeauty,male,1025,0.3487
arcface,london,female,49,0.1213
arcface,london,male,53,0.1572
cosface,scut,female,2750,0.8682
cosface,scut,male,2750,0.8714
cosface,mebeauty,female,1172,0.602
cosface,mebeauty,male,1025,0.486
cosface,london,female,49,0.3071
cosface,london,male,53,0.5686
adaface,scut,female,2750,0.8469
adaface,scut,male,2750,0.8571
adaface,mebeauty,female,1172,0.5221
adaface,mebeauty,male,1025,0.3848
adaface,london,female,49,0.0847
adaface,london,male,53,0.2306
fairface,scut,female,2750,0.8371
fairface,scut,male,2750,0.839
fairface,mebeauty,female,1172,0.6533
fairface,mebeauty,male,1025,0.5748
fairface,london,female,49,0.4232
fairface,london,male,53,0.1484
geometric,scut,female,2750,0.7805
geometric,scut,male,2750,0.7638
geometric,mebeauty,female,1172,0.501
geometric,mebeauty,male,1025,0.3932
geometric,london,female,49,0.1976
geometric,london,male,53,0.2516
clip,scut,female,2750,0.9351
clip,scut,male,2750,0.9382
clip,mebeauty,female,1172,0.8064
clip,mebeauty,male,1025,0.77
clip,london,female,49,0.7577
clip,london,male,53,0.7356
dinov2,scut,female,2750,0.8795
dinov2,scut,male,2750,0.8716
dinov2,mebeauty,female,1172,0.6915
dinov2,mebeauty,male,1025,0.6429
dinov2,london,female,49,0.6636
dinov2,london,male,53,0.4794
blendshapes,scut,female,2731,0.5335
blendshapes,scut,male,2745,0.5553
blendshapes,mebeauty,female,1129,0.3169
blendshapes,mebeauty,male,1007,0.1071
blendshapes,london,female,49,-0.2176
blendshapes,london,male,53,-0.1682
lbph,scut,female,2750,0.7859
lbph,scut,male,2750,0.7603
lbph,mebeauty,female,1172,0.5212
lbph,mebeauty,male,1025,0.383
lbph,london,female,49,0.4878
lbph,london,male,53,0.3082
fisherface,scut,female,2750,0.6298
fisherface,scut,male,2750,0.6237
fisherface,mebeauty,female,1172,0.312
fisherface,mebeauty,male,1025,0.2739
fisherface,london,female,49,-0.1993
fisherface,london,male,53,-0.0245
