family,dataset,attribute,n_groups,gap
facenet,scut,gender,2,0.0132
facenet,scut,ethnicity,2,0.0205
facenet,mebeauty,gender,2,0.055
facenet,mebeauty,ethnicity,5,0.0977
facenet,london,gender,2,0.0794
facenet,london,age,3,0.0764
arcface,scut,gender,2,0.0079
arcface,scut,ethnicity,2,0.1539
arcface,mebeauty,gender,2,0.1638
arcface,mebeauty,ethnicity,5,0.1766
arcface,london,gender,2,0.0359
arcface,london,age,3,0.2532
cosface,scut,gender,2,0.0032
cosface,scut,ethnicity,2,0.0763
cosface,mebeauty,gender,2,0.116
cosface,mebeauty,ethnicity,5,0.101
cosface,london,gender,2,0.2615
cosface,london,age,3,0.1611
adaface,scut,gender,2,0.0102
adaface,scut,ethnicity,2,0.1117
adaface,mebeauty,gender,2,0.1373
adaface,mebeauty,ethnicity,5,0.2255
adaface,london,gender,2,0.1459
adaface,london,age,3,0.3851
fairface,scut,gender,2,0.0019
fairface,scut,ethnicity,2,0.009
fairface,mebeauty,gender,2,0.0785
fairface,mebeauty,ethnicity,5,0.1976
fairface,london,gender,2,0.2748
fairface,london,age,3,0.182
geometric,scut,gender,2,0.0167
geometric,scut,ethnicity,2,0.022
geometric,mebeauty,gender,2,0.1078
geometric,mebeauty,ethnicity,5,0.1729
geometric,london,gender,2,0.054
geometric,london,age,3,0.3415
clip,scut,gender,2,0.0031
clip,scut,ethnicity,2,0.0134
clip,mebeauty,gender,2,0.0364
clip,mebeauty,ethnicity,5,0.0923
clip,london,gender,2,0.0221
clip,london,age,3,0.0959
dinov2,scut,gender,2,0.0079
dinov2,scut,ethnicity,2,0.0113
dinov2,mebeauty,gender,2,0.0486
dinov2,mebeauty,ethnicity,5,0.1042
dinov2,london,gender,2,0.1842
dinov2,london,age,3,0.0453
blendshapes,scut,gender,2,0.0218
blendshapes,scut,ethnicity,2,0.0902
blendshapes,mebeauty,gender,2,0.2098
blendshapes,mebeauty,ethnicity,5,0.1411
blendshapes,london,gender,2,0.0494
blendshapes,london,age,3,0.2472
lbph,scut,gender,2,0.0256
lbph,scut,ethnicity,2,0.0068
lbph,mebeauty,gender,2,0.1382
lbph,mebeauty,ethnicity,5,0.2185
lbph,london,gender,2,0.1796
lbph,london,age,3,0.0871
fisherface,scut,gender,2,0.0061
fisherface,scut,ethnicity,2,0.0456
fisherface,mebeauty,gender,2,0.0381
fisherface,mebeauty,ethnicity,5,0.1915
fisherface,london,gender,2,0.1748
fisherface,london,age,3,0.3557
